크롤링 시작 시간: 2025-12-09 16:39:38.837131
총 상품 수: 59914
이미 저장됨: 3604
크롤링 대상: 56310

❌ CSV 3798번 | ID: 3314636 | SQL 오류
❌ CSV 3799번 | ID: 2602317 | SQL 오류
❌ CSV 3800번 | ID: 5323509 | SQL 오류
❌ CSV 3801번 | ID: 4859350 | SQL 오류
❌ CSV 3802번 | ID: 4036306 | SQL 오류
❌ CSV 3803번 | ID: 3547984 | SQL 오류
❌ CSV 3804번 | ID: 3106046 | SQL 오류
❌ CSV 3805번 | ID: 1852601 | SQL 오류
❌ CSV 3806번 | ID: 5331629 | SQL 오류
❌ CSV 3807번 | ID: 5180229 | SQL 오류
❌ CSV 3808번 | ID: 4683158 | SQL 오류
❌ CSV 3809번 | ID: 3475262 | SQL 오류
❌ CSV 3810번 | ID: 4749363 | SQL 오류
❌ CSV 3811번 | ID: 4442066 | SQL 오류
❌ CSV 3812번 | ID: 2367275 | SQL 오류
❌ CSV 3813번 | ID: 4886000 | SQL 오류
❌ CSV 3814번 | ID: 4231026 | SQL 오류
❌ CSV 3815번 | ID: 3901545 | SQL 오류
❌ CSV 3816번 | ID: 3839282 | SQL 오류
❌ CSV 3817번 | ID: 3627725 | SQL 오류
❌ CSV 3818번 | ID: 1675532 | SQL 오류
❌ CSV 3819번 | ID: 4800083 | SQL 오류
❌ CSV 3820번 | ID: 4459196 | SQL 오류
❌ CSV 3821번 | ID: 3467082 | SQL 오류
❌ CSV 3822번 | ID: 1769061 | SQL 오류
❌ CSV 3823번 | ID: 1763286 | SQL 오류
❌ CSV 3824번 | ID: 1588766 | SQL 오류
❌ CSV 3825번 | ID: 1323981 | SQL 오류
❌ CSV 3826번 | ID: 5393256 | SQL 오류
❌ CSV 3827번 | ID: 5052753 | SQL 오류
❌ CSV 3828번 | ID: 4438266 | SQL 오류
❌ CSV 3829번 | ID: 4356177 | SQL 오류
❌ CSV 3830번 | ID: 4319658 | SQL 오류
❌ CSV 3831번 | ID: 1960237 | SQL 오류
❌ CSV 3832번 | ID: 4356176 | SQL 오류
❌ CSV 3833번 | ID: 4210203 | SQL 오류
❌ CSV 3834번 | ID: 3793214 | SQL 오류
❌ CSV 3835번 | ID: 2550817 | SQL 오류
❌ CSV 3836번 | ID: 2060745 | SQL 오류
❌ CSV 3837번 | ID: 1830015 | SQL 오류
❌ CSV 3838번 | ID: 5338921 | SQL 오류
❌ CSV 3839번 | ID: 5045753 | SQL 오류
❌ CSV 3840번 | ID: 4949336 | SQL 오류
❌ CSV 3841번 | ID: 4052610 | SQL 오류
❌ CSV 3842번 | ID: 3872031 | SQL 오류
